rank,label,n_trades,win_rate,avg_r,ev_per_day_2025,pass_rate,account,scheme
1,S2-rank7: rr1.50 sl0.75 wick0.15 atr10,53,0.5472,0.3689,45.3268,0.7816,150K,fixed_dollar
2,S1-rank3: NY rr0.75 BOS mom disp2,52,0.6731,0.1776,32.1362,0.4752,150K,martingale
3,S2-rank3: rr1.00 sl1.50 wick0.15 atr10,43,0.5814,0.1654,26.7593,0.4732,150K,fixed_dollar
4,S1-rank5: NY rr1.50 BOS mom disp2,50,0.5,0.2541,24.0876,0.6068,150K,fixed_dollar
5,S2-rank2: rr1.00 sl1.25 wick0.10 atr7,19,0.5789,0.1579,22.5409,0.3896,150K,fixed_dollar
6,S1-rank1: NY rr1.25 BOS mom disp2,51,0.5294,0.1921,20.7494,0.4322,150K,fixed_dollar
7,S2-rank5: rr1.25 sl1.00 wick0.15 atr10,51,0.5294,0.1921,20.7494,0.4322,150K,fixed_dollar
8,S2-rank1: rr=1.00 sl=1.25 wick=0.15 atr=10,48,0.5625,0.125,16.6473,0.4164,150K,fixed_dollar
9,S2-rank1: rr1.00 sl1.25 wick0.15 atr10,48,0.5625,0.125,16.6473,0.4164,150K,fixed_dollar
10,S1-rank4: NY rr1.25 BOS rev disp2,61,0.5082,0.1445,13.2557,0.4322,50K,fixed_dollar
11,S1-rank2: NY rr1.00 BOS mom disp2,51,0.549,0.098,8.2959,0.416,50K,fixed_dollar
12,S2-rank4: rr1.00 sl1.00 wick0.15 atr7,35,0.5429,0.0857,8.1433,0.4698,25K,fixed_dollar
13,S2-rank6: rr1.25 sl1.25 wick0.10 atr7,19,0.4211,-0.0523,-0.8042,0.031,25K,frac_dd
